Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Camping & Hiking,Central America,532.5,0,1,5.1
Camping & Hiking,Central Asia,175.7,1,0,-0.6
Camping & Hiking,East Africa,302.4,0,0,-1.9
Camping & Hiking,East of USA,504.9,0,1,3.0
Camping & Hiking,Eastern Asia,491.6,1,0,-0.5
Camping & Hiking,Eastern Europe,592.2,0,1,4.6
Camping & Hiking,North Africa,474.0,0,0,-0.6
Cardio Equipment,Canada,416.6,0,1,1.5
Cardio Equipment,Caribbean,484.0,0,1,5.3
Cardio Equipment,Central Africa,137.3,1,1,5.1
Cardio Equipment,Central America,149.2,1,1,4.9
Cardio Equipment,Central Asia,551.0,1,1,2.5
Cardio Equipment,East Africa,377.2,0,1,2.2
Cardio Equipment,East of USA,560.4,0,1,2.5
Cardio Equipment,Eastern Asia,365.3,1,1,5.0
Cardio Equipment,Eastern Europe,597.3,1,1,2.5
Cardio Equipment,North Africa,278.5,1,1,2.1
Children's Clothing,Canada,545.5,0,0,-0.6
Children's Clothing,Caribbean,554.4,0,1,3.0
Children's Clothing,Central Africa,366.9,0,0,-0.1
Children's Clothing,Central America,423.1,1,0,-1.2
Children's Clothing,Central Asia,448.9,0,0,-0.3
Children's Clothing,East Africa,388.1,0,0,-0.6
Children's Clothing,East of USA,514.2,0,0,-0.3
Children's Clothing,Eastern Asia,563.5,0,1,3.1
Children's Clothing,Eastern Europe,461.7,1,1,4.0
Children's Clothing,North Africa,288.5,1,1,5.0
Cleats,Canada,338.0,0,1,3.1
Cleats,Caribbean,449.8,0,1,3.6
Cleats,Central Africa,335.5,0,1,2.8
Cleats,Central America,181.2,0,0,-2.0
Cleats,Central Asia,365.8,1,0,-1.8
Cleats,East Africa,174.9,0,0,-0.4
Cleats,East of USA,579.0,1,1,4.3
Cleats,Eastern Asia,164.6,0,1,4.4
Cleats,Eastern Europe,540.0,0,0,-0.9
Cleats,North Africa,162.6,0,0,-1.5
Computers,Canada,110.7,0,0,-0.6
Computers,Caribbean,529.6,0,1,2.8
Computers,Central Africa,482.8,0,0,-0.7
Computers,Central America,580.5,1,1,2.0
Computers,Central Asia,520.4,0,1,4.7
Computers,East Africa,591.7,1,1,4.2
Computers,East of USA,323.3,1,1,5.0
Computers,Eastern Asia,194.3,0,1,2.6
Computers,Eastern Europe,179.5,0,1,1.6
Computers,North Africa,369.2,1,0,-1.8
Consumer Electronics,Canada,411.9,0,0,-1.4
Consumer Electronics,Caribbean,411.4,1,1,4.6
Consumer Electronics,Central Africa,574.1,1,0,-0.1
Consumer Electronics,Central America,339.0,0,1,5.5
Consumer Electronics,Central Asia,525.3,0,0,-0.3
Consumer Electronics,East Africa,280.7,0,1,2.1
Consumer Electronics,East of USA,168.9,0,1,3.4
Consumer Electronics,Eastern Asia,371.2,0,0,-1.3
Consumer Electronics,Eastern Europe,604.8,0,0,-1.9
Consumer Electronics,North Africa,545.3,0,0,-1.6
