Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Basketball,East Africa,453.5,0,0,-0.7
Basketball,East of USA,440.7,1,1,3.1
Basketball,Eastern Asia,648.9,1,1,1.4
Basketball,Eastern Europe,324.7,1,1,1.7
Basketball,North Africa,558.1,0,0,-1.5
Books ,Canada,514.1,0,0,-1.2
Books ,Caribbean,636.3,1,0,-1.0
Books ,Central Africa,277.9,0,1,5.2
Books ,Central America,489.3,1,1,2.2
Books ,Central Asia,265.5,0,1,1.5
Books ,East Africa,328.8,0,1,5.1
Books ,East of USA,539.6,1,0,-1.8
Books ,Eastern Asia,289.2,1,1,3.2
Books ,Eastern Europe,598.9,0,0,-0.7
Books ,North Africa,188.2,0,0,-1.4
Boxing & MMA,Canada,548.3,0,1,4.6
Boxing & MMA,Caribbean,273.7,0,1,2.6
Boxing & MMA,Central Africa,288.4,1,1,2.0
Boxing & MMA,Central America,207.0,1,1,5.1
Boxing & MMA,Central Asia,563.3,1,1,3.7
Boxing & MMA,East Africa,417.4,0,0,-1.5
Boxing & MMA,East of USA,520.1,1,0,-0.8
Boxing & MMA,Eastern Asia,563.6,1,1,3.5
Boxing & MMA,Eastern Europe,166.7,1,1,5.5
Boxing & MMA,North Africa,555.1,0,1,4.8
CDs ,Canada,669.4,1,0,-0.6
CDs ,Caribbean,254.9,0,0,-1.5
CDs ,Central Africa,516.8,0,1,4.3
CDs ,Central America,313.7,0,0,-0.6
CDs ,Central Asia,459.8,0,0,-0.7
CDs ,East Africa,350.5,1,1,3.3
CDs ,East of USA,592.0,1,1,4.2
CDs ,Eastern Asia,472.6,1,0,-1.3
CDs ,Eastern Europe,159.6,0,1,4.8
CDs ,North Africa,475.3,0,0,-0.2
Cameras ,Canada,165.4,1,0,-1.8
Cameras ,Caribbean,652.3,0,0,-0.0
Cameras ,Central Africa,224.6,0,0,-0.2
Cameras ,Central America,597.2,0,0,-0.3
Cameras ,Central Asia,619.6,0,1,4.9
Cameras ,East Africa,525.8,0,1,2.0
Cameras ,East of USA,226.2,0,0,-0.7
Cameras ,Eastern Asia,429.6,0,0,-1.0
Cameras ,Eastern Europe,489.5,0,1,1.2
Cameras ,North Africa,579.8,1,1,2.0
Camping & Hiking,Canada,500.9,1,1,3.0
Camping & Hiking,Caribbean,598.9,1,1,3.9
Camping & Hiking,Central Africa,188.4,0,1,5.0
Camping & Hiking,Central America,522.6,0,0,-1.1
Camping & Hiking,Central Asia,245.7,0,0,-1.4
Camping & Hiking,East Africa,393.2,1,1,5.1
Camping & Hiking,East of USA,148.1,0,1,2.8
Camping & Hiking,Eastern Asia,351.9,1,1,4.7
Camping & Hiking,Eastern Europe,519.9,1,0,-1.9
Camping & Hiking,North Africa,565.9,0,0,-1.2
Cardio Equipment,Canada,623.9,0,1,4.7
Cardio Equipment,Caribbean,175.5,1,1,4.4
Cardio Equipment,Central Africa,615.6,0,1,2.7
Cardio Equipment,Central America,267.8,1,1,4.1
Cardio Equipment,Central Asia,428.6,1,1,5.1
Cardio Equipment,East Africa,304.5,0,0,-1.6
Cardio Equipment,East of USA,206.6,1,1,2.6
Cardio Equipment,Eastern Asia,450.6,1,1,4.7
Cardio Equipment,Eastern Europe,372.1,0,1,1.9
Cardio Equipment,North Africa,449.8,0,0,-1.9
Children's Clothing,Canada,599.3,0,1,2.2
Children's Clothing,Caribbean,620.3,0,0,-1.2
Children's Clothing,Central Africa,186.2,1,0,-0.6
Children's Clothing,Central America,484.7,0,1,2.7
Children's Clothing,Central Asia,400.1,0,0,-1.4
Children's Clothing,East Africa,463.6,1,0,-1.5
Children's Clothing,East of USA,560.4,0,0,-1.8
Children's Clothing,Eastern Asia,254.8,0,1,5.0
Children's Clothing,Eastern Europe,384.0,0,0,-1.1
Children's Clothing,North Africa,343.2,0,0,-1.7
Cleats,Canada,263.2,1,1,4.5
Cleats,Caribbean,360.4,0,0,-0.0
Cleats,Central Africa,248.1,1,0,-1.0
Cleats,Central America,361.1,1,1,4.8
Cleats,Central Asia,542.3,0,0,-1.9
Cleats,East Africa,329.6,0,1,3.8
Cleats,East of USA,128.5,1,1,3.0
Cleats,Eastern Asia,240.3,1,1,3.7
Cleats,Eastern Europe,310.5,0,1,5.0
Cleats,North Africa,213.4,0,0,-1.2
Computers,Canada,411.1,1,1,5.3
Computers,Caribbean,226.7,1,0,-1.8
Computers,Central Africa,467.3,0,0,-0.4
Computers,Central America,323.6,1,0,-2.0
Computers,Central Asia,153.5,0,0,-0.8
Computers,East Africa,668.8,0,1,5.4
Computers,East of USA,473.5,0,1,2.9
Computers,Eastern Asia,602.4,1,0,-1.3
Computers,Eastern Europe,529.6,0,0,-0.5
Computers,North Africa,601.0,1,1,3.1
Consumer Electronics,Canada,636.4,0,1,3.8
Consumer Electronics,Caribbean,485.1,0,0,-0.2
Consumer Electronics,Central Africa,252.5,1,0,-1.6
Consumer Electronics,Central America,173.5,0,1,5.3
Consumer Electronics,Central Asia,616.1,1,1,3.3
Consumer Electronics,East Africa,376.3,1,0,-0.5
Consumer Electronics,East of USA,488.2,1,0,-1.3
Consumer Electronics,Eastern Asia,611.7,0,0,-1.0
Consumer Electronics,Eastern Europe,150.3,1,0,-1.4
Consumer Electronics,North Africa,550.2,0,0,-0.7
