Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Camping & Hiking,Central America,621.0,0,1,1.8
Camping & Hiking,Central Asia,187.4,1,1,2.2
Camping & Hiking,East Africa,667.6,0,0,-0.6
Camping & Hiking,East of USA,584.8,1,1,2.0
Camping & Hiking,Eastern Asia,297.6,0,0,-0.6
Camping & Hiking,Eastern Europe,634.4,0,0,-0.7
Camping & Hiking,North Africa,588.6,0,1,1.6
Cardio Equipment,Canada,179.2,1,1,5.1
Cardio Equipment,Caribbean,583.8,1,1,4.6
Cardio Equipment,Central Africa,543.8,1,0,-0.7
Cardio Equipment,Central America,246.6,1,1,5.1
Cardio Equipment,Central Asia,456.1,0,1,3.9
Cardio Equipment,East Africa,203.7,1,0,-1.4
Cardio Equipment,East of USA,181.2,1,1,2.9
Cardio Equipment,Eastern Asia,130.3,1,1,5.4
Cardio Equipment,Eastern Europe,500.6,1,0,-1.4
Cardio Equipment,North Africa,202.5,0,0,-1.7
Children's Clothing,Canada,680.8,0,0,-1.9
Children's Clothing,Caribbean,521.6,0,1,3.8
Children's Clothing,Central Africa,488.4,1,0,-0.7
Children's Clothing,Central America,651.2,1,0,-1.6
Children's Clothing,Central Asia,436.4,1,0,-0.6
Children's Clothing,East Africa,436.3,1,0,-2.0
Children's Clothing,East of USA,168.3,0,1,4.4
Children's Clothing,Eastern Asia,499.0,1,0,-0.4
Children's Clothing,Eastern Europe,159.4,0,1,3.8
Children's Clothing,North Africa,653.3,0,0,-1.0
Cleats,Canada,416.2,1,1,4.9
Cleats,Caribbean,222.9,0,0,-1.0
Cleats,Central Africa,526.7,0,1,3.9
Cleats,Central America,187.7,1,1,3.9
Cleats,Central Asia,396.3,0,0,-0.1
Cleats,East Africa,337.1,1,1,5.4
Cleats,East of USA,531.7,1,1,5.3
Cleats,Eastern Asia,486.8,0,0,-0.7
Cleats,Eastern Europe,196.2,1,1,2.1
Cleats,North Africa,600.9,1,0,-1.5
Computers,Canada,279.6,0,0,-1.3
Computers,Caribbean,426.3,0,0,-1.2
Computers,Central Africa,176.7,0,1,2.5
Computers,Central America,581.2,1,1,4.8
Computers,Central Asia,593.8,0,0,-1.8
Computers,East Africa,410.2,1,0,-0.9
Computers,East of USA,377.2,1,1,3.5
Computers,Eastern Asia,333.5,0,1,3.5
Computers,Eastern Europe,160.3,1,0,-0.9
Computers,North Africa,539.9,0,0,-1.7
Consumer Electronics,Canada,274.7,1,0,-0.3
Consumer Electronics,Caribbean,616.1,0,1,4.5
Consumer Electronics,Central Africa,460.9,0,1,4.9
Consumer Electronics,Central America,371.7,1,1,3.0
Consumer Electronics,Central Asia,558.3,1,0,-2.0
Consumer Electronics,East Africa,344.3,0,1,2.2
Consumer Electronics,East of USA,489.8,0,0,-1.2
Consumer Electronics,Eastern Asia,640.4,1,1,4.2
Consumer Electronics,Eastern Europe,314.3,1,1,2.8
Consumer Electronics,North Africa,367.3,0,1,3.3
