Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Children's Clothing,North Africa,110.5,1,0,-0.3
Cleats,Canada,295.8,0,0,-0.7
Cleats,Caribbean,418.3,0,0,-0.8
Cleats,Central Africa,562.3,0,1,5.4
Cleats,Central America,478.5,1,0,-0.5
Cleats,Central Asia,192.3,0,1,4.4
Cleats,East Africa,232.9,0,0,-0.3
Cleats,East of USA,462.4,1,1,3.1
Cleats,Eastern Asia,406.2,1,1,4.5
Cleats,Eastern Europe,323.0,1,0,-1.7
Cleats,North Africa,485.1,0,0,-1.6
Computers,Canada,512.4,0,1,4.5
Computers,Caribbean,240.8,1,0,-0.5
Computers,Central Africa,398.8,0,1,3.5
Computers,Central America,532.6,0,0,-1.4
Computers,Central Asia,429.6,0,1,4.4
Computers,East Africa,465.8,1,0,-0.2
Computers,East of USA,282.4,0,0,-0.2
Computers,Eastern Asia,227.7,1,1,3.6
Computers,Eastern Europe,257.4,1,0,-1.3
Computers,North Africa,461.6,1,0,-1.7
Consumer Electronics,Canada,196.4,0,1,1.2
Consumer Electronics,Caribbean,159.6,1,0,-1.2
Consumer Electronics,Central Africa,345.5,1,1,4.7
Consumer Electronics,Central America,488.8,0,1,4.3
Consumer Electronics,Central Asia,203.3,0,0,-1.1
Consumer Electronics,East Africa,560.2,1,1,5.2
Consumer Electronics,East of USA,573.2,1,1,4.4
Consumer Electronics,Eastern Asia,605.4,0,1,1.3
Consumer Electronics,Eastern Europe,306.7,0,0,-1.4
Consumer Electronics,North Africa,171.1,1,1,3.2
