saved_at,forecast_period,overall_confidence,category,region,order_count,predicted_demand,predicted_revenue,combined_risk,demand_risk,supplier_risk,logistics_risk
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Shop By Sport,Southern Europe,73,215.0,8597.85,1.2878,2.9456,0.3151,0.6027
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Indoor/Outdoor Games,Southern Europe,132,412.0,20591.76,1.2866,2.9961,0.3333,0.5303
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Golf Gloves,Southern Europe,8,12.0,3119.88,1.2756,2.8268,0.5,0.5
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Women's Apparel,Northern Europe,156,474.0,23700.0,1.2695,2.9366,0.2949,0.5769
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Cardio Equipment,Southern Europe,70,212.0,21197.88,1.2618,2.8997,0.4714,0.4143
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Women's Golf Clubs,Western Europe,5,14.0,1707.86,1.2011,3.0034,0.4,0.2
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Golf Shoes,Northern Europe,5,12.0,1123.2,1.1737,2.7211,0.2,0.6
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Hockey,Western Europe,20,20.0,6599.8,1.1135,2.1904,0.3,0.85
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Golf Gloves,Northern Europe,13,19.0,5056.73,1.0051,2.0154,0.4615,0.5385
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Men's Golf Clubs,Western Europe,11,25.0,2738.39,0.9707,2.0939,0.4545,0.3636
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Golf Gloves,Western Europe,30,38.0,9727.62,0.9308,1.6589,0.3667,0.7667
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Hunting & Shooting,Western Europe,6,11.0,1275.96,0.9126,2.071,0.1667,0.5
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Kids' Golf Clubs,Southern Europe,20,25.0,7098.41,0.8707,2.062,0.3,0.25
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Kids' Golf Clubs,Western Europe,59,75.0,23384.95,0.8518,1.7078,0.3729,0.4746
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Kids' Golf Clubs,Northern Europe,24,30.0,8620.84,0.7472,1.6998,0.2917,0.25
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Water Sports,Northern Europe,108,108.0,22648.92,0.7167,1.0018,0.4352,0.713
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Water Sports,Western Europe,304,304.0,64396.96,0.7093,0.9997,0.3454,0.7829
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Basketball,Western Europe,38,38.0,12799.62,0.6996,0.9935,0.4211,0.6842
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Fishing,Western Europe,320,320.0,127993.6,0.6986,0.9991,0.3187,0.7781
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Men's Footwear,Western Europe,383,383.0,49786.17,0.697,0.9995,0.3368,0.7546
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Camping & Hiking,Western Europe,250,250.0,74995.0,0.6947,1.0002,0.36,0.724
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Water Sports,Southern Europe,100,100.0,21349.0,0.6766,0.9997,0.44,0.59
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Fishing,Northern Europe,117,117.0,46797.66,0.6611,1.0004,0.359,0.6239
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Golf Apparel,Western Europe,5,5.0,639.95,0.6369,0.7107,0.2,1.0
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Camping & Hiking,Southern Europe,96,96.0,28798.08,0.6348,0.9981,0.4062,0.5
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Basketball,Northern Europe,9,9.0,2699.91,0.6244,0.9843,0.5556,0.3333
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Camping & Hiking,Northern Europe,90,90.0,26998.2,0.6191,1.0016,0.2778,0.5778
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Fishing,Southern Europe,129,129.0,51597.42,0.6166,0.9972,0.3798,0.4729
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Men's Golf Clubs,Northern Europe,7,15.0,1735.56,0.612,1.5503,0.1429,0.1429
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Men's Footwear,Southern Europe,124,124.0,16118.76,0.6098,0.9987,0.4032,0.4274
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Strength Training,Western Europe,26,26.0,13177.76,0.6007,0.9945,0.2308,0.5769
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Men's Footwear,Northern Europe,155,155.0,20148.45,0.5747,1.0014,0.3161,0.4065
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Strength Training,Northern Europe,11,11.0,8777.91,0.544,0.9958,0.3636,0.2727
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Strength Training,Southern Europe,5,5.0,3599.95,0.532,0.9959,0.4,0.2
2026-09-17T02:10:24.477672+00:00,2017-10,0.6037,Basketball,Southern Europe,12,12.0,3599.88,0.4648,0.9778,0.1667,0.25
