saved_at,period,category,region,predicted_demand,actual_demand,variance,responsible_agent,risk_level,late_delivery_rate,reason,root_cause
2026-09-17T01:50:28.576601+00:00,2017-11,Shop By Sport,Western Europe,590,606,+16 (2.7%),Supplier Agent,Medium,53.5,Late delivery rate 53.5% on Western Europe lane,Demand model vs actual gap: +16 units — Shop By Sport · Western Europe
2026-09-17T01:50:28.576601+00:00,2017-11,Women's Apparel,Northern Europe,469,474,+5 (1.1%),Supplier Agent,Medium,50.0,Late delivery rate 50.0% on Northern Europe lane,Demand model vs actual gap: +5 units — Women's Apparel · Northern Europe
2026-09-17T01:50:29.427062+00:00,latest,Cleats,Central America,12143,12164,+21 (0.2%),Supplier Agent,Medium,54.7,Late delivery rate 54.7% on Central America lane,Demand model vs actual gap: +21 units — Cleats · Central America
2026-09-17T01:50:29.427062+00:00,latest,Cleats,Western Europe,10979,10896,-83 (-0.8%),Logistics Agent,High,56.2,Late delivery rate 56.2% on Western Europe lane,Demand model vs actual gap: -83 units — Cleats · Western Europe
2026-09-17T01:50:29.427062+00:00,latest,Men's Footwear,Central America,3619,3620,+1 (0.0%),Supplier Agent,Medium,53.7,Late delivery rate 53.7% on Central America lane,Demand model vs actual gap: +1 units — Men's Footwear · Central America
2026-09-17T01:50:29.427062+00:00,latest,Women's Apparel,Central America,10322,10342,+20 (0.2%),Supplier Agent,Medium,54.3,Late delivery rate 54.3% on Central America lane,Demand model vs actual gap: +20 units — Women's Apparel · Central America
2026-09-17T01:50:29.427062+00:00,latest,Indoor/Outdoor Games,Central America,9843,9754,-89 (-0.9%),Logistics Agent,High,55.5,Late delivery rate 55.5% on Central America lane,Demand model vs actual gap: -89 units — Indoor/Outdoor Games · Central America
2026-09-17T01:50:29.427062+00:00,latest,Men's Footwear,Western Europe,3220,3217,-3 (-0.1%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: -3 units — Men's Footwear · Western Europe
2026-09-17T01:50:29.427062+00:00,latest,Women's Apparel,Western Europe,9452,9453,+1 (0.0%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Women's Apparel · Western Europe
2026-09-17T01:50:29.427062+00:00,latest,Fishing,Central America,2826,2822,-4 (-0.1%),Logistics Agent,High,55.4,Late delivery rate 55.4% on Central America lane,Demand model vs actual gap: -4 units — Fishing · Central America
2026-09-17T01:50:29.427062+00:00,latest,Indoor/Outdoor Games,Western Europe,8209,8103,-106 (-1.3%),Logistics Agent,High,55.3,Late delivery rate 55.3% on Western Europe lane,Demand model vs actual gap: -106 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:50:29.427062+00:00,latest,Fishing,Western Europe,2586,2593,+7 (0.3%),Logistics Agent,High,58.0,Late delivery rate 58.0% on Western Europe lane,Demand model vs actual gap: +7 units — Fishing · Western Europe
2026-09-17T01:50:57.998459+00:00,2017-10,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:50:57.998459+00:00,2017-10,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:50:57.998459+00:00,2017-10,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:50:57.998459+00:00,2017-10,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:50:57.998459+00:00,2017-10,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:50:57.998459+00:00,2017-10,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
2026-09-17T01:50:57.998459+00:00,2017-10,Camping & Hiking,Western Europe,250,250,+0 (0.0%),Supplier Agent,Medium,54.8,Late delivery rate 54.8% on Western Europe lane,Demand model vs actual gap: +0 units — Camping & Hiking · Western Europe
2026-09-17T01:50:57.998459+00:00,2017-10,Cardio Equipment,Western Europe,677,663,-14 (-2.1%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: -14 units — Cardio Equipment · Western Europe
2026-09-17T01:50:57.998459+00:00,2017-10,Shop By Sport,Western Europe,590,606,+16 (2.7%),Supplier Agent,Medium,53.5,Late delivery rate 53.5% on Western Europe lane,Demand model vs actual gap: +16 units — Shop By Sport · Western Europe
2026-09-17T01:50:57.998459+00:00,2017-10,Women's Apparel,Northern Europe,469,474,+5 (1.1%),Supplier Agent,Medium,50.0,Late delivery rate 50.0% on Northern Europe lane,Demand model vs actual gap: +5 units — Women's Apparel · Northern Europe
2026-09-17T01:51:28.239847+00:00,2017-10,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:51:28.239847+00:00,2017-10,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:51:28.239847+00:00,2017-10,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:51:28.239847+00:00,2017-10,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:51:28.239847+00:00,2017-10,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:51:28.239847+00:00,2017-10,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
2026-09-17T01:51:28.239847+00:00,2017-10,Camping & Hiking,Western Europe,250,250,+0 (0.0%),Supplier Agent,Medium,54.8,Late delivery rate 54.8% on Western Europe lane,Demand model vs actual gap: +0 units — Camping & Hiking · Western Europe
2026-09-17T01:51:28.239847+00:00,2017-10,Cardio Equipment,Western Europe,677,663,-14 (-2.1%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: -14 units — Cardio Equipment · Western Europe
2026-09-17T01:51:28.239847+00:00,2017-10,Shop By Sport,Western Europe,590,606,+16 (2.7%),Supplier Agent,Medium,53.5,Late delivery rate 53.5% on Western Europe lane,Demand model vs actual gap: +16 units — Shop By Sport · Western Europe
2026-09-17T01:51:28.239847+00:00,2017-10,Women's Apparel,Northern Europe,469,474,+5 (1.1%),Supplier Agent,Medium,50.0,Late delivery rate 50.0% on Northern Europe lane,Demand model vs actual gap: +5 units — Women's Apparel · Northern Europe
2026-09-17T01:51:32.451542+00:00,2017-10,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:51:32.451542+00:00,2017-10,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:51:32.451542+00:00,2017-10,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:51:32.451542+00:00,2017-10,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:51:32.451542+00:00,2017-10,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:51:32.451542+00:00,2017-10,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
2026-09-17T01:51:32.451542+00:00,2017-10,Camping & Hiking,Western Europe,250,250,+0 (0.0%),Supplier Agent,Medium,54.8,Late delivery rate 54.8% on Western Europe lane,Demand model vs actual gap: +0 units — Camping & Hiking · Western Europe
2026-09-17T01:51:32.451542+00:00,2017-10,Cardio Equipment,Western Europe,677,663,-14 (-2.1%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: -14 units — Cardio Equipment · Western Europe
2026-09-17T01:51:32.451542+00:00,2017-10,Shop By Sport,Western Europe,590,606,+16 (2.7%),Supplier Agent,Medium,53.5,Late delivery rate 53.5% on Western Europe lane,Demand model vs actual gap: +16 units — Shop By Sport · Western Europe
2026-09-17T01:51:32.451542+00:00,2017-10,Women's Apparel,Northern Europe,469,474,+5 (1.1%),Supplier Agent,Medium,50.0,Late delivery rate 50.0% on Northern Europe lane,Demand model vs actual gap: +5 units — Women's Apparel · Northern Europe
2026-09-17T01:51:36.450398+00:00,2017-10,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:51:36.450398+00:00,2017-10,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:51:36.450398+00:00,2017-10,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:51:36.450398+00:00,2017-10,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:51:36.450398+00:00,2017-10,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:51:36.450398+00:00,2017-10,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
2026-09-17T01:51:36.450398+00:00,2017-10,Camping & Hiking,Western Europe,250,250,+0 (0.0%),Supplier Agent,Medium,54.8,Late delivery rate 54.8% on Western Europe lane,Demand model vs actual gap: +0 units — Camping & Hiking · Western Europe
2026-09-17T01:51:36.450398+00:00,2017-10,Cardio Equipment,Western Europe,677,663,-14 (-2.1%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: -14 units — Cardio Equipment · Western Europe
2026-09-17T01:51:36.450398+00:00,2017-10,Shop By Sport,Western Europe,590,606,+16 (2.7%),Supplier Agent,Medium,53.5,Late delivery rate 53.5% on Western Europe lane,Demand model vs actual gap: +16 units — Shop By Sport · Western Europe
2026-09-17T01:51:36.450398+00:00,2017-10,Women's Apparel,Northern Europe,469,474,+5 (1.1%),Supplier Agent,Medium,50.0,Late delivery rate 50.0% on Northern Europe lane,Demand model vs actual gap: +5 units — Women's Apparel · Northern Europe
2026-09-17T01:52:46.997113+00:00,2017-10,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:52:46.997113+00:00,2017-10,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:52:46.997113+00:00,2017-10,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:52:46.997113+00:00,2017-10,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:52:46.997113+00:00,2017-10,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:52:46.997113+00:00,2017-10,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
2026-09-17T01:52:46.997113+00:00,2017-10,Camping & Hiking,Western Europe,250,250,+0 (0.0%),Supplier Agent,Medium,54.8,Late delivery rate 54.8% on Western Europe lane,Demand model vs actual gap: +0 units — Camping & Hiking · Western Europe
2026-09-17T01:52:46.997113+00:00,2017-10,Cardio Equipment,Western Europe,677,663,-14 (-2.1%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: -14 units — Cardio Equipment · Western Europe
2026-09-17T01:52:46.997113+00:00,2017-10,Shop By Sport,Western Europe,590,606,+16 (2.7%),Supplier Agent,Medium,53.5,Late delivery rate 53.5% on Western Europe lane,Demand model vs actual gap: +16 units — Shop By Sport · Western Europe
2026-09-17T01:52:46.997113+00:00,2017-10,Women's Apparel,Northern Europe,469,474,+5 (1.1%),Supplier Agent,Medium,50.0,Late delivery rate 50.0% on Northern Europe lane,Demand model vs actual gap: +5 units — Women's Apparel · Northern Europe
2026-09-17T01:54:02.099565+00:00,2017-10,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:54:02.099565+00:00,2017-10,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:54:02.099565+00:00,2017-10,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:54:02.099565+00:00,2017-10,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:54:02.099565+00:00,2017-10,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:54:02.099565+00:00,2017-10,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
2026-09-17T01:54:02.099565+00:00,2017-10,Camping & Hiking,Western Europe,250,250,+0 (0.0%),Supplier Agent,Medium,54.8,Late delivery rate 54.8% on Western Europe lane,Demand model vs actual gap: +0 units — Camping & Hiking · Western Europe
2026-09-17T01:54:02.099565+00:00,2017-10,Cardio Equipment,Western Europe,677,663,-14 (-2.1%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: -14 units — Cardio Equipment · Western Europe
2026-09-17T01:54:02.099565+00:00,2017-10,Shop By Sport,Western Europe,590,606,+16 (2.7%),Supplier Agent,Medium,53.5,Late delivery rate 53.5% on Western Europe lane,Demand model vs actual gap: +16 units — Shop By Sport · Western Europe
2026-09-17T01:54:02.099565+00:00,2017-10,Women's Apparel,Northern Europe,469,474,+5 (1.1%),Supplier Agent,Medium,50.0,Late delivery rate 50.0% on Northern Europe lane,Demand model vs actual gap: +5 units — Women's Apparel · Northern Europe
2026-09-17T01:55:32.498296+00:00,2017-10,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:55:32.498296+00:00,2017-10,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:55:32.498296+00:00,2017-10,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:55:32.498296+00:00,2017-10,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:55:32.498296+00:00,2017-10,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:55:32.498296+00:00,2017-10,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
2026-09-17T01:55:32.498296+00:00,2017-10,Camping & Hiking,Western Europe,250,250,+0 (0.0%),Supplier Agent,Medium,54.8,Late delivery rate 54.8% on Western Europe lane,Demand model vs actual gap: +0 units — Camping & Hiking · Western Europe
2026-09-17T01:55:32.498296+00:00,2017-10,Cardio Equipment,Western Europe,677,663,-14 (-2.1%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: -14 units — Cardio Equipment · Western Europe
2026-09-17T01:55:32.498296+00:00,2017-10,Shop By Sport,Western Europe,590,606,+16 (2.7%),Supplier Agent,Medium,53.5,Late delivery rate 53.5% on Western Europe lane,Demand model vs actual gap: +16 units — Shop By Sport · Western Europe
2026-09-17T01:55:32.498296+00:00,2017-10,Women's Apparel,Northern Europe,469,474,+5 (1.1%),Supplier Agent,Medium,50.0,Late delivery rate 50.0% on Northern Europe lane,Demand model vs actual gap: +5 units — Women's Apparel · Northern Europe
2026-09-17T01:57:26.879360+00:00,2017-10,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:57:26.879360+00:00,2017-10,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:57:26.879360+00:00,2017-10,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:57:26.879360+00:00,2017-10,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:57:26.879360+00:00,2017-10,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:57:26.879360+00:00,2017-10,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
2026-09-17T01:57:26.879360+00:00,2017-10,Camping & Hiking,Western Europe,250,250,+0 (0.0%),Supplier Agent,Medium,54.8,Late delivery rate 54.8% on Western Europe lane,Demand model vs actual gap: +0 units — Camping & Hiking · Western Europe
2026-09-17T01:57:26.879360+00:00,2017-10,Cardio Equipment,Western Europe,677,663,-14 (-2.1%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: -14 units — Cardio Equipment · Western Europe
2026-09-17T01:57:26.879360+00:00,2017-10,Shop By Sport,Western Europe,590,606,+16 (2.7%),Supplier Agent,Medium,53.5,Late delivery rate 53.5% on Western Europe lane,Demand model vs actual gap: +16 units — Shop By Sport · Western Europe
2026-09-17T01:57:26.879360+00:00,2017-10,Women's Apparel,Northern Europe,469,474,+5 (1.1%),Supplier Agent,Medium,50.0,Late delivery rate 50.0% on Northern Europe lane,Demand model vs actual gap: +5 units — Women's Apparel · Northern Europe
2026-09-17T01:58:51.490044+00:00,2017-10,Cleats,Western Europe,1337,1294,-43 (-3.2%),Supplier Agent,Medium,53.1,Late delivery rate 53.1% on Western Europe lane,Demand model vs actual gap: -43 units — Cleats · Western Europe
2026-09-17T01:58:51.490044+00:00,2017-10,Men's Footwear,Western Europe,383,383,+0 (0.0%),Supplier Agent,Medium,52.0,Late delivery rate 52.0% on Western Europe lane,Demand model vs actual gap: +0 units — Men's Footwear · Western Europe
2026-09-17T01:58:51.490044+00:00,2017-10,Women's Apparel,Western Europe,1051,1094,+43 (4.1%),Logistics Agent,High,56.1,Late delivery rate 56.1% on Western Europe lane,Demand model vs actual gap: +43 units — Women's Apparel · Western Europe
2026-09-17T01:58:51.490044+00:00,2017-10,Fishing,Western Europe,319,320,+1 (0.3%),Supplier Agent,Medium,50.9,Late delivery rate 50.9% on Western Europe lane,Demand model vs actual gap: +1 units — Fishing · Western Europe
2026-09-17T01:58:51.490044+00:00,2017-10,Indoor/Outdoor Games,Western Europe,957,873,-84 (-8.8%),Supplier Agent,Medium,53.8,Late delivery rate 53.8% on Western Europe lane,Demand model vs actual gap: -84 units — Indoor/Outdoor Games · Western Europe
2026-09-17T01:58:51.490044+00:00,2017-10,Water Sports,Western Europe,303,304,+1 (0.3%),Logistics Agent,High,55.9,Late delivery rate 55.9% on Western Europe lane,Demand model vs actual gap: +1 units — Water Sports · Western Europe
